Beraterparticipant	item	condition	sentence	completion	time	first_word	stemnoun	word	word_CORRECTED
23	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm	7585	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
31	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm.	10117	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
35	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Liegestuhl.	13125	Liegestuhl	Stuhl	Liegestuhl	Liegestuhl
39	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Schirm.	6986	Schirm	Schirm	Schirm	Schirm
3	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Schaukelstuhl und eine Schaukelmatratze. Doppelt hält eben besser. 	61381	Schaukelstuhl	Stuhl	Schaukelstuhl	Schaukelstuhl
43	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm.	8652	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
47	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Topf voller Sonnenblumen.	19550	Topf	Topf	Topf	Topf
100003	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Tisch und Stühle	10478	Tisch	Tisch	Tisch	Tisch
51	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Pool	16928	Pool	Pool	Pool	Pool
55	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm.	19175	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
59	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Stuhl.	14150	Stuhl	Stuhl	Stuhl	Stuhl
63	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Blumentopf	12390	Blumentopf	Topf	Blumentopf	Blumentopf
67	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Liegestuhl	6484	Liegestuhl	Stuhl	Liegestuhl	Liegestuhl
71	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Liegestuhl	11867	Liegestuhl	Stuhl	Liegestuhl	Liegestuhl
75	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Schirm	9190	Schirm	Schirm	Schirm	Schirm
79	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm	9330	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
7	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Sessel	16000	Sessel	Sessel	Sessel	Sessel
83	1	Non-constraining_a	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich einen großen	Sonnenschirm	12247	Sonnenschirm	Schirm	Sonnenschirm	Sonnenschirm
12	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Hängematte	13447	Hängematte	Hängematte	Hängematte	Hängematte
16	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Liege	5112	Liege	Liege	Liege	Liege
20	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Liege, auf der sie viele gemütliche Stunden verbringen konnte.	30168	Liege	Liege	Liege	Liege
24	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große		33252	NA	NA	NA	NA
28	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Schaukel zum Aufstellen.	27372	Schaukel	Schaukel	Schaukel	Schaukel
2	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Liege um sich darauf zu sonnen.	14747	Liege	Liege	Liege	Liege
32	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Markiese.	18508	Markiese	Markiese	Markiese	Markiese
36	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Strandliege.	12722	Strandliege	Liege	Strandliege	Strandliege
40	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Liege.	7158	Liege	Liege	Liege	Liege
44	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Sitzecke	32224	Sitzecke	Sitzecke	Sitzecke	Sitzecke
4	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Markise um auch Schatten zu haben.	22958	Markise	Markise	Markise	Markise
52	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Markiese, Annett hasst Sonne.	25363	Markiese	Markise	Markiese	Markiese
56	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Liege	8872	Liege	Liege	Liege	Liege
60	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Sonnenliege	8530	Sonnenliege	Liege	Sonnenliege	Sonnenliege
64	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Liege	7516	Liege	Liege	Liege	Liege
68	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Hollywoodschaukel.	9414	Hollywoodschaukel	Schaukel	Hollywoodschaukel	Hollywoodschaukel
72	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Eispackung	14636	Eispackung	Packung	Eispackung	Eispackung
76	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Liege	15632	Liege	Liege	Liege	Liege
80	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Picknickdecke	51481	Picknickdecke	Decke	Picknickdecke	Picknickdecke
8	1	Non-constraining_b	Auf Annetts Terrasse schien im Sommer genug Sonne, um draußen sitzen zu können. Daher kaufte sie sich eine große	Liege	6201	Liege	Liege	Liege	Liege
12	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Geschäft	8375	Geschäft	Geschäft	Geschäft	Geschäft
16	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Geschäft	5628	Geschäft	Geschäft	Geschäft	Geschäft
20	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Sportfachgeschäft und lässt sich beraten.	12497	Sportfachgeschäft	Geschäft	Sportfachgeschäft	Sportfachgeschäft
24	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Sportgeschäft	19594	Sportgeschäft	Geschäft	Sportgeschäft	Sportgeschäft
28	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Einkaufszentrum.	10707	Einkaufszentrum	Zentrum	Einkaufszentrum	Einkaufszentrum
32	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Geschäft.	7478	Geschäft	Geschäft	Geschäft	Geschäft
36	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Geschäft auf der Einkaufstraße.	12558	Geschäft	Geschäft	Geschäft	Geschäft
40	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Outdoorgeschäft.	18297	Outdoorgeschäft	Geschäft	Outdoorgeschäft	Outdoorgeschäft
44	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Geschäft	6623	Geschäft	Geschäft	Geschäft	Geschäft
4	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Sportgeschäft.	6914	Sportgeschäft	Geschäft	Sportgeschäft	Sportgeschäft
52	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Geschäft für Prothesen.	29474	Geschäft	Geschäft	Geschäft	Geschäft
56	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Sportgeschäft	9255	Sportgeschäft	Geschäft	Sportgeschäft	Sportgeschäft
60	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Geschäft	4566	Geschäft	Geschäft	Geschäft	Geschäft
64	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Einkaufscenter	12719	Einkaufscenter	Center	Einkaufscenter	Einkaufscenter
68	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Sportgeschäft und probiert einige Exemplare an.	13076	Sportgeschäft	Geschäft	Sportgeschäft	Sportgeschäft
72	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Geschäft	7198	Geschäft	Geschäft	Geschäft	Geschäft
76	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Sporthaus	8776	Sporthaus	Haus	Sporthaus	Sporthaus
80	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Shoppingzentrum, um sich dort beraten zu lassen	23204	Shoppingzentrum	Zentrum	Shoppingzentrum	Shoppingzentrum
8	2	Constraining_a	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in ein bekanntes	Geschäft und sieht sich um	7213	Geschäft	Geschäft	Geschäft	Geschäft
13	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Sportartikeldiscounter.	15578	Sportartikeldiscounter	Discounter	Sportartikeldiscounter	Sportartikeldiscounter
17	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Supermarkt, weil er momentan nicht genug Geld für teure Markenschuhe hat.	28304	Supermarkt	Markt	Supermarkt	Supermarkt
1	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Sportladen	7364	Sportladen	Laden	Sportladen	Sportladen
21	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Laden	6593	Laden	Laden	Laden	Laden
25	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Schuhladen	10772	Schuhladen	Laden	Schuhladen	Schuhladen
29	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Laden	11481	Laden	Laden	Laden	Laden
33	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Sportladen.	25169	Sportladen	Laden	Sportladen	Sportladen
37	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Sportladen.	5785	Sportladen	Laden	Sportladen	Sportladen
41	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Laden.	5787	Laden	Laden	Laden	Laden
45	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Laden	3314	Laden	Laden	Laden	Laden
53	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Schuladen und lässt sich beraten	16502	Schuladen	Laden	Schuladen	Schuladen
57	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Shop und holt sich neue Schuhe.	11574	Shop	Shop	Shop	Shop
5	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	sportladen	9504	sportladen	Laden	Sportladen	Sportladen
61	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Laden	6224	Laden	Laden	Laden	Laden
65	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Laden	4721	Laden	Laden	Laden	Laden
69	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Laden.	6504	Laden	Laden	Laden	Laden
73	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Laden.	7980	Laden	Laden	Laden	Laden
77	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Laden	8093	Laden	Laden	Laden	Laden
81	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Schuhladen	10459	Schuhladen	Laden	Schuhladen	Schuhladen
9	2	Constraining_b	Jan muss sich dringend neue Sportschuhe kaufen. Er geht in einen bekannten	Sportladen.	11819	Sportladen	Laden	Sportladen	Sportladen
10	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Cafe, in dem sich Jugendliche versammeln	37156	Cafe	Cafe	Cafe	Cafe
14	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Fitnessstudio.	10207	Fitnessstudio	Studio	Fitnessstudio	Fitnessstudio
18	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Fitnessstudio	7826	Fitnessstudio	Studio	Fitnessstudio	Fitnessstudio
22	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Sportmodegeschäft	12249	Sportmodegeschäft	Geschäft	Sportmodegeschäft	Sportmodegeschäft
26	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Fachgeschäftz.	13140	Fachgeschäftz	Geschäft	Fachgeschäftz	Fachgeschäftz
2	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Sportgeschäft um sich die passene Sporthose dazu zu kaufen.	21695	Sportgeschäft	Geschäft	Sportgeschäft	Sportgeschäft
30	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Kaufhaus um sich Sportbekleidung zu kaufen.	57486	Kaufhaus	Haus	Kaufhaus	Kaufhaus
34	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Sportgeschäft, um sich auch eine neue Hose zu leisten. 	44705	Sportgeschäft	Geschäft	Sportgeschäft	Sportgeschäft
38	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Sportgeschäft, um nun gute Socken zu kaufen.	14825	Sportgeschäft	Geschäft	Sportgeschäft	Sportgeschäft
42	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Fitnesscenter	9854	Fitnesscenter	Center	Fitnesscenter	Fitnesscenter
46	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Fitnesscenter und probiert sie dort aus.	19502	Fitnesscenter	Center	Fitnesscenter	Fitnesscenter
100002	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Sportgeschäft	14747	Sportgeschäft	Geschäft	Sportgeschäft	Sportgeschäft
50	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Waldgebiet um sie gleich einmal aus zu probieren.	25038	Waldgebiet	Gebiet	Waldgebiet	Waldgebiet
54	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Geschäft, um sie wieder umzutauschen.	36944	Geschäft	Geschäft	Geschäft	Geschäft
58	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Sportstudio.	7740	Sportstudio	Studio	Sportstudio	Sportstudio
62	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Fitnessstudio	10918	Fitnessstudio	Studio	Fitnessstudio	Fitnessstudio
66	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Geschäft	8526	Geschäft	Geschäft	Geschäft	Geschäft
6	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Sportgeschäft	11450	Sportgeschäft	Geschäft	Sportgeschäft	Sportgeschäft
70	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Fitnessstudio	11187	Fitnessstudio	Studio	Fitnessstudio	Fitnessstudio
74	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Fitnessstudio.	9410	Fitnessstudio	Studio	Fitnessstudio	Fitnessstudio
78	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Fitnessstudio	10618	Fitnessstudio	Studio	Fitnessstudio	Fitnessstudio
82	2	Non-constraining_a	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in ein bekanntes	Restaurant und präsentiert sie.	36664	Restaurant	Restaurant	Restaurant	Restaurant
11	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Park und läuft ein paar Runden	11280	Park	Park	Park	Park
15	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Schuhladen	7968	Schuhladen	Laden	Schuhladen	Schuhladen
19	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Sportladen um sich auch eine neue Hose zu kaufen.	27181	Sportladen	Laden	Sportladen	Sportladen
23	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Shop und lässt sich beraten	14436	Shop	Shop	Shop	Shop
31	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Seconhand Laden	9209	Seconhand Laden	Laden	Seconhand	Seconhand
35	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Fitnessclub und präsentiert sie dort seinen Mitstreitern.	31619	Fitnessclub	Club	Fitnessclub	Fitnessclub
39	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Schuhladen und gibt sie zurück.	14860	Schuhladen	Laden	Schuhladen	Schuhladen
3	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Sportladen und tauscht sie um. 	14156	Sportladen	Laden	Sportladen	Sportladen
43	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Laufclub.	8833	Laufclub	Club	Laufclub	Laufclub
47	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Sportladen.	7776	Sportladen	Laden	Sportladen	Sportladen
100003	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Laden	5877	Laden	Laden	Laden	Laden
51	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Sprtverein	17219	Sprtverein	Verein	Sprtverein	Sprtverein
55	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Sportverein.	8166	Sportverein	Verein	Sportverein	Sportverein
59	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Laden.	10293	Laden	Laden	Laden	Laden
63	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Schuhladen	10897	Schuhladen	Laden	Schuhladen	Schuhladen
67	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Fitnessclub	6368	Fitnessclub	Club	Fitnessclub	Fitnessclub
71	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Sportverein, um sie auszuprobieren	10858	Sportverein	Verein	Sportverein	Sportverein
75	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Shop	5304	Shop	Shop	Shop	Shop
79	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Golfclub	12140	Golfclub	Club	Golfclub	Golfclub
7	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Fitnessclub	14437	Fitnessclub	Club	Fitnessclub	Fitnessclub
83	2	Non-constraining_b	Jan hat sich kürzlich neue Sportschuhe gekauft. Er geht in einen bekannten	Park und läuft eine Runde	15429	Park	Park	Park	Park
11	3	Constraining_a	Der Ingenieur muss häufig mit Mitgliedern der Geschäftsführung in Meetings sitzen. Er trägt daher immer einen bequemen	Sakko	11244	Sakko	Sakko	Sakko	Sakko
